date,Trans,Visits,Net_Sales
2014-05-01,347.0,1004.0,18609.300000000007
2014-05-02,423.0,1346.0,23665.040000000005
2014-05-03,720.0,2286.0,37515.63
2014-05-04,400.0,1495.0,22342.77
2014-05-05,252.0,839.0,13734.16
2014-05-06,315.0,908.0,17314.050000000007
2014-05-07,370.0,1089.0,19528.47
2014-05-08,332.0,1049.0,19378.93
2014-05-09,497.0,1569.0,26756.35
2014-05-10,798.0,2659.0,42834.09
2014-05-11,453.0,1657.0,25373.970000000005
2014-05-12,300.0,1011.0,15441.61
2014-05-13,348.0,1040.0,21268.26
2014-05-14,402.0,1246.0,23158.88
